month,sector,num_new_house_transactions,price_new_house_transactions,amount_new_house_transactions,area_per_unit_new_house_transactions,num_new_house_available_for_sale,area_new_house_available_for_sale,period_new_house_sell_through,area_pre_owned_house_transactions,amount_pre_owned_house_transactions,num_pre_owned_house_transactions,price_pre_owned_house_transactions,num_land_transactions,planned_building_area,transaction_amount,num_new_house_transactions_nearby_sectors,area_new_house_transactions_nearby_sectors,amount_new_house_transactions_nearby_sectors,price_new_house_transactions_nearby_sectors,num_pre_owned_house_transactions_nearby_sectors,amount_pre_owned_house_transactions_nearby_sectors,price_pre_owned_house_transactions_nearby_sectors,num_land_transactions_nearby_sectors,planned_building_area_nearby_sectors,transaction_amount_nearby_sectors,date,month_num,quarter,year,days_in_month,month_sin,month_cos,amount_new_house_transactions_lag_1,amount_new_house_transactions_lag_2,amount_new_house_transactions_lag_3,amount_new_house_transactions_lag_6,amount_new_house_transactions_lag_12,amount_new_house_transactions_rolling_mean_3,amount_new_house_transactions_rolling_std_3,amount_new_house_transactions_rolling_mean_6,amount_new_house_transactions_rolling_std_6,amount_new_house_transactions_rolling_mean_12,amount_new_house_transactions_rolling_std_12,price_change_1m,price_change_3m,price_change_6m,supply_demand_ratio,new_vs_preowned_price_ratio,local_vs_nearby_ratio,ewgm_pred
2019-01-01,sector 1,52,28184,13827.14,94,159.0,15904.0,3.78,9163.0,40994.7,111.0,44739.38666,0.0,0.0,0.0,29.44444444,3532.444444,18366.06889,51992.52013,6.75,1247.038,17012.79673,0.0,0.0,0.0,2019-01-01,1,1,2019,31,0.49999999999999994,0.8660254037844387,,,,,,,,,,,,,,,3.0,0.6299453827742132,0.7528223519392484,9286.905188442819
2019-02-01,sector 1,24,34846,8802.81,105,158.0,15814.0,4.24,3191.0,10191.0,50.0,31936.69696,0.0,0.0,0.0,13.0,1597.333333,7309.53,45760.83055,6.25,1315.15,18549.3653,0.125,12367.375,46334.5,2019-02-01,2,1,2019,28,0.8660254037844386,0.5000000000000001,13827.14,,,,,13827.14,,13827.14,,13827.14,,0.23637524836786827,,,6.32,1.0910617645236746,1.2041274709220808,9286.905188442819
2019-03-01,sector 1,68,34589,23283.48,99,151.0,14767.0,3.68,7115.0,30176.3,75.0,42412.22769,0.0,0.0,0.0,23.22222222,2838.444444,14282.86778,50319.34941,9.5,1859.6,18169.02785,0.0,0.0,0.0,2019-03-01,3,1,2019,31,1.0,6.123233995736766e-17,8802.81,13827.14,,,,11314.974999999999,3552.737813919006,11314.974999999999,3552.737813919006,11314.974999999999,3552.737813919006,-0.007375308500258249,,,2.1884057971014492,0.8155238797860989,1.6300542933197046,9286.905188442819
2019-04-01,sector 1,69,38392,26626.68,101,141.0,12936.0,2.83,9228.0,39411.1,106.0,42708.17078,0.0,0.0,0.0,25.0,2611.777778,13457.80111,51527.35897,6.75,1718.0,20087.69366,0.0,0.0,0.0,2019-04-01,4,2,2019,30,0.8660254037844387,-0.49999999999999983,23283.48,8802.81,13827.14,,,15304.476666666667,7352.505942346006,15304.476666666667,7352.505942346006,15304.476666666667,7352.505942346006,0.10994824944346471,0.3621913142208346,,2.0142857142857142,0.898917007725618,1.9783842396048306,9286.905188442819
2019-05-01,sector 1,47,22587,8649.42,81,141.0,12936.0,2.67,9899.0,45385.4,115.0,45848.46954,0.0,0.0,0.0,27.11111111,3129.444444,15143.01222,48388.81946,7.75,1874.55,20921.31696,0.0,0.0,0.0,2019-05-01,5,2,2019,31,0.49999999999999994,-0.8660254037844387,26626.68,23283.48,8802.81,,,19570.99,9474.150196418675,18135.0275,8251.523162533387,18135.0275,8251.523162533387,-0.41167430714732234,-0.35180508523216436,,2.9375,0.4926338347337835,0.5711445470558396,9286.905188442819
2019-06-01,sector 1,41,47216,20116.16,104,158.0,16788.0,3.45,9623.0,42369.3,110.0,44029.20087,0.0,0.0,0.0,19.44444444,2479.111111,14136.42,57022.13159,8.25,2104.05,21306.83544,0.0,0.0,0.0,2019-06-01,6,2,2019,30,1.2246467991473532e-16,-1.0,8649.42,26626.68,23283.48,,,19519.86,9561.333374859389,16237.905999999999,8310.299381200415,16237.905999999999,8310.299381200415,1.0904059857440123,0.365058255514759,,3.761904761904762,1.072354862504628,1.4229017741568122,9286.905188442819
2019-07-01,sector 1,42,36408,14325.33,94,100.0,12863.0,2.74,11571.0,51995.5,130.0,44936.04701,0.0,0.0,0.0,18.44444444,2298.666667,13076.92333,56889.16763,9.0,2094.425,17453.54167,0.0,0.0,0.0,2019-07-01,7,3,2019,31,-0.4999999999999998,-0.8660254037844388,20116.16,8649.42,26626.68,13827.14,,18464.086666666666,9101.784385544044,16884.281666666666,7599.71510379808,16884.281666666666,7599.71510379808,-0.2289054557777025,-0.05167743279849968,0.29179676412148736,2.3255813953488373,0.8102001004182139,1.0953826260120765,9286.905188442819
2019-08-01,sector 1,54,47573,29794.76,116,91.0,11076.0,2.08,8281.0,39332.0,100.0,47496.67915,0.0,0.0,0.0,17.88888889,2473.222222,14416.99444,58292.35365,4.0,1135.75,25113.32228,0.0,0.0,0.0,2019-08-01,8,3,2019,31,-0.8660254037844384,-0.5000000000000004,14325.33,20116.16,8649.42,8802.81,,14363.636666666667,5733.465976827053,16967.313333333335,7562.262904855044,16518.717142857142,7004.65464268038,0.30666337068776084,1.1062115376101298,0.36523560810423006,1.6545454545454545,1.0015857795864538,2.066498230665152,9286.905188442819
2019-09-01,sector 1,47,32058,13982.09,93,88.0,10672.0,2.16,13586.0,54229.0,166.0,39915.35404,0.0,0.0,0.0,19.66666667,2226.444444,12273.88222,55127.72732,9.25,2218.75,19665.41103,0.0,0.0,0.0,2019-09-01,9,3,2019,30,-1.0,-1.8369701987210297e-16,29794.76,14325.33,20116.16,23283.48,,21412.083333333332,7815.713601177652,20465.971666666668,7878.828767227821,18178.2225,8005.469288295971,-0.3261303680659198,-0.32103524229074887,-0.07317355228540867,1.8333333333333333,0.8031294633742055,1.1390813980453818,9286.905188442819
2019-10-01,sector 1,41,32018,11949.09,91,85.0,10011.0,2.28,9801.0,44000.0,108.0,44893.37823,0.0,0.0,0.0,17.11111111,1840.555556,9797.711111,53232.35738,8.0,1734.75,17879.41252,0.0,0.0,0.0,2019-10-01,10,4,2019,31,-0.8660254037844386,0.5000000000000001,13982.09,29794.76,14325.33,26626.68,,19367.39333333333,9031.995080004936,18915.74,8124.811045844696,17711.985555555555,7617.938579786711,-0.0012477384740158248,-0.12057789496813887,-0.166024171702438,2.0238095238095237,0.7131850637504641,1.2194552798465494,9286.905188442819
