month,sector,num_new_house_transactions,area_new_house_transactions,price_new_house_transactions,amount_new_house_transactions,area_per_unit_new_house_transactions,total_price_per_unit_new_house_transactions,num_new_house_available_for_sale,area_new_house_available_for_sale,period_new_house_sell_through,amount_pre_owned_house_transactions,price_pre_owned_house_transactions,amount_new_house_transactions_nearby_sectors,month_num,year,is_december,is_february,new_to_preowned_price_ratio,num_new_house_available_for_sale_lag1,amount_pre_owned_house_transactions_lag1,period_new_house_sell_through_lag1,sector_historical_mean,sector_historical_std,months_since_start
2019-04-01,sector 1,69,6935,38392,26626.68,101,385.89,141.0,12936.0,2.83,39411.1,42708.17078,13457.80111,4,2019,0,0,0.8989380556185927,,,,,,0
2019-07-01,sector 1,42,3935,36408,14325.33,94,341.08,100.0,12863.0,2.74,51995.5,44936.04701,13076.92333,7,2019,0,0,0.8102181304888215,141.0,39411.1,2.83,26626.68,,1
2019-09-01,sector 1,47,4362,32058,13982.09,93,297.49,88.0,10672.0,2.16,54229.0,39915.35404,12273.88222,9,2019,0,0,0.8031495841894329,100.0,51995.5,2.74,20476.005,8698.368002749137,2
2019-12-01,sector 1,48,4585,50012,22931.65,96,477.74,293.0,36501.0,8.13,54327.0,43157.7693,13703.83667,12,2019,1,0,1.158818002208469,88.0,54229.0,2.16,18311.366666666665,7203.317312046815,3
2020-06-01,sector 1,32,3286,58177,19116.77,103,597.4,133.0,15452.0,11.62,98516.0,44462.69802,31039.08222,6,2020,0,0,1.3084451144604652,293.0,54327.0,8.13,19466.4375,6318.908770673278,4
2021-01-01,sector 1,230,23320,59704,139229.64,101,605.35,101.0,11052.0,1.65,159699.0,55549.41041,11696.44778,1,2021,0,0,1.0747908854357902,133.0,98516.0,11.62,19396.504,5474.569344814257,5
2023-02-01,sector 1,31,2812,79848,22453.37,91,724.3,311.0,28828.0,10.22,56375.0,52320.18561,18283.76778,2,2023,0,1,1.5261413748642854,101.0,159699.0,1.65,39368.693333333336,49166.11443065262,6
2023-03-01,sector 1,48,4402,80159,35282.69,92,735.06,322.0,29771.0,10.35,79102.2,54161.04074,26975.85111,3,2023,0,0,1.4800121804306379,311.0,56375.0,10.22,36952.21857142857,45335.392268048316,7
2019-01-01,sector 10,40,3629,30431,11043.29,91,276.08,209.0,19380.0,1.73,2561.6,16709.7195,27771.805,1,2019,0,0,1.8211556453715456,,,,,,0
2019-04-01,sector 10,12,1181,28686,3387.26,98,282.27,123.0,11736.0,1.74,3128.0,19119.8044,58513.275,4,2019,0,0,1.5003291560869734,209.0,2561.6,1.73,11043.29,,1
2019-08-01,sector 10,8,781,27979,2185.57,98,273.2,107.0,10116.0,6.89,4794.0,18755.86854,49722.49,8,2019,0,0,1.491746433407237,123.0,3128.0,1.74,7215.275000000001,5413.630729967644,2
2020-05-01,sector 10,3,279,28815,804.92,93,268.31,53.0,4624.0,10.28,7221.0,17400.0,94950.82,5,2020,0,0,1.6560344827586206,107.0,4794.0,6.89,5538.706666666668,4804.8249675959405,3
2020-10-01,sector 10,2,190,28259,535.96,95,267.98,62.0,5841.0,16.56,1720.0,19884.39306,247570.8675,10,2020,0,0,1.4211648258375356,53.0,7221.0,10.28,4355.26,4581.820529462061,4
2022-02-01,sector 10,28,2610,45383,11844.42,93,423.02,627.0,60482.0,10.51,1940.0,24713.3758,65084.2325,2,2022,0,1,1.8363739687881895,62.0,1720.0,16.56,3591.4,4319.979169064361,5
2022-03-01,sector 10,33,3025,44302,13400.02,92,406.06,597.0,57728.0,10.89,2958.0,19358.63874,97833.7,3,2022,0,0,2.288487356730332,627.0,1940.0,10.51,4966.903333333334,5126.580979267436,6
2023-04-01,sector 10,202,20237,38072,77047.86,100,381.43,2664.0,275003.0,21.86,3645.0,23350.4164,106741.6275,4,2023,0,0,1.6304634293373887,597.0,2958.0,10.89,6171.634285714286,5662.257834780095,7
2023-05-01,sector 10,169,16940,37697,63857.54,100,377.86,2643.0,273736.0,19.08,4844.0,23873.82947,84328.2875,5,2023,0,0,1.5790093519504393,2664.0,3645.0,21.86,15031.1625,25600.994491815436,8
2023-09-01,sector 10,119,11984,36029,43178.01,101,362.84,2233.0,232294.0,17.96,4038.9,23523.00524,82262.8225,9,2023,0,0,1.5316495333995004,2643.0,4844.0,19.08,20456.315555555557,28954.708169562906,9
2019-05-01,sector 11,65,7047,13882,9782.84,108,150.51,906.0,149164.0,26.99,1340.0,10601.26582,15829.29,5,2019,0,0,1.3094662690006955,,,,,,0
2020-02-01,sector 11,6,669,17802,1190.47,111,198.41,1218.0,162977.0,49.39,232.0,11600.0,2955.915,2,2020,0,1,1.5346551724137931,906.0,1340.0,26.99,9782.84,,1
2020-04-01,sector 11,74,9290,14213,13203.72,126,178.43,1636.0,196875.0,40.44,2138.0,13181.25771,12939.615,4,2020,0,0,1.0782734328316232,1218.0,232.0,49.39,5486.655,6075.723093463855,2
2020-12-01,sector 11,102,10369,16597,17210.25,102,168.73,1609.0,185956.0,22.0,3507.0,16028.33638,22562.0,12,2020,1,0,1.0354786427311053,1636.0,2138.0,40.44,8059.009999999999,6189.364772922985,3
2021-01-01,sector 11,38,3758,15756,5920.85,99,155.81,1509.0,176194.0,24.21,5181.0,12291.81495,11066.12,1,2021,0,0,1.2818286041639442,1609.0,3507.0,22.0,10346.82,6817.266503465055,4
2021-09-01,sector 11,26,3023,17231,5209.3,116,200.36,963.0,112865.0,26.5,6553.0,14254.94888,6370.065,9,2021,0,0,1.2087731878278052,1509.0,5181.0,24.21,9461.626,6226.892003450035,5
2021-10-01,sector 11,56,6300,16186,10197.3,113,182.09,1599.0,175906.0,38.75,2838.0,10088.87309,22294.12,10,2021,0,0,1.6043417193981178,963.0,6553.0,26.5,8752.905,5833.786073653198,6
