id,new_house_transaction_amount
2024 Aug_sector 1,45637.652879613786
2024 Aug_sector 2,2589.6403956766208
2024 Aug_sector 3,0.0
2024 Aug_sector 4,3487.7561256070567
2024 Aug_sector 5,0.0
2024 Aug_sector 6,6893.381005431583
2024 Aug_sector 7,13278.675013380815
2024 Aug_sector 8,10282.59945778043
2024 Aug_sector 9,44408.654932700934
2024 Aug_sector 10,2753.18869306126
2024 Aug_sector 11,3002.951486102384
2024 Aug_sector 12,1715.2441061135078
2024 Aug_sector 13,30193.863355924805
2024 Aug_sector 14,19525.99774048175
2024 Aug_sector 15,38755.95168941939
2024 Aug_sector 16,4841.23327714256
2024 Aug_sector 17,2819.340247121575
2024 Aug_sector 18,3705.7255100863918
2024 Aug_sector 19,0.0
2024 Aug_sector 20,7034.188423580968
2024 Aug_sector 21,21140.428409272274
2024 Aug_sector 22,0.0
2024 Aug_sector 23,17733.494673136902
2024 Aug_sector 24,15336.021254696263
2024 Aug_sector 25,13904.057963163265
2024 Aug_sector 26,0.0
2024 Aug_sector 27,2806.671567967413
2024 Aug_sector 28,9277.682443060465
2024 Aug_sector 29,35134.704796244376
2024 Aug_sector 30,54537.215102304355
2024 Aug_sector 31,6904.288776094641
2024 Aug_sector 32,0.0
2024 Aug_sector 33,30161.529058553173
2024 Aug_sector 34,11711.756378971757
2024 Aug_sector 35,1100.9484582817715
2024 Aug_sector 36,11512.565978008834
2024 Aug_sector 37,65899.24095653191
2024 Aug_sector 38,43318.581181772584
2024 Aug_sector 39,0.0
2024 Aug_sector 40,0.0
2024 Aug_sector 41,4755.059266960619
2024 Aug_sector 42,1247.874775878152
2024 Aug_sector 43,0.0
2024 Aug_sector 44,29417.44585817548
2024 Aug_sector 45,27518.458881903865
2024 Aug_sector 46,8502.509443723176
2024 Aug_sector 47,3817.1335420973905
2024 Aug_sector 48,2277.7697444299733
2024 Aug_sector 49,0.0
2024 Aug_sector 50,9759.426068973618
2024 Aug_sector 51,0.0
2024 Aug_sector 52,0.0
2024 Aug_sector 53,2173.063653746466
2024 Aug_sector 54,34001.15142674086
2024 Aug_sector 55,65755.80828902377
2024 Aug_sector 56,1301.2618320079027
2024 Aug_sector 57,2784.728779522042
2024 Aug_sector 58,0.0
2024 Aug_sector 59,30962.227330516092
2024 Aug_sector 60,9234.834995019453
2024 Aug_sector 61,18060.808744767302
2024 Aug_sector 62,0.0
2024 Aug_sector 63,16041.034209159267
2024 Aug_sector 64,21947.878177738796
2024 Aug_sector 65,14593.479219012468
2024 Aug_sector 66,25946.844049258645
2024 Aug_sector 67,3905.0817880503428
2024 Aug_sector 68,19798.92376020941
2024 Aug_sector 69,4382.8306979283625
2024 Aug_sector 70,1824.2164054615998
2024 Aug_sector 71,996.9702413757619
2024 Aug_sector 72,0.0
2024 Aug_sector 73,49766.31924082151
2024 Aug_sector 74,0.0
2024 Aug_sector 75,2918.99016897396
2024 Aug_sector 76,18740.5162245905
2024 Aug_sector 77,28317.698972672548
2024 Aug_sector 78,0.0
2024 Aug_sector 79,17136.478186123943
2024 Aug_sector 80,17010.108365140513
