id,new_house_transaction_amount
2024 Aug_sector 1,13780.607236103438
2024 Aug_sector 2,5390.542213553037
2024 Aug_sector 3,7290.867830455469
2024 Aug_sector 4,75574.95420177156
2024 Aug_sector 5,1905.5018746258625
2024 Aug_sector 6,16368.459912007536
2024 Aug_sector 7,8089.900724251251
2024 Aug_sector 8,4371.589654818827
2024 Aug_sector 9,10516.519126927511
2024 Aug_sector 10,43977.16388121127
2024 Aug_sector 11,4465.5370991521095
2024 Aug_sector 12,0.0
2024 Aug_sector 13,5302.409856610672
2024 Aug_sector 14,16108.837585691319
2024 Aug_sector 15,93802.69453808204
2024 Aug_sector 16,75448.85901265626
2024 Aug_sector 17,1352.6571109036172
2024 Aug_sector 18,25982.999693856174
2024 Aug_sector 19,0.0
2024 Aug_sector 20,8544.572894509638
2024 Aug_sector 21,23487.872183053434
2024 Aug_sector 22,25430.94622552648
2024 Aug_sector 23,27436.575813665862
2024 Aug_sector 24,65688.09032562998
2024 Aug_sector 25,28367.99542749654
2024 Aug_sector 26,0.0
2024 Aug_sector 27,3945.213287927103
2024 Aug_sector 28,31940.754147564647
2024 Aug_sector 29,25493.76002566881
2024 Aug_sector 30,34641.76119404024
2024 Aug_sector 31,10570.951791967162
2024 Aug_sector 32,66161.59740805087
2024 Aug_sector 33,0.0
2024 Aug_sector 34,70727.86439722485
2024 Aug_sector 35,13104.62746447061
2024 Aug_sector 36,125873.54438751377
2024 Aug_sector 37,6699.729287205517
2024 Aug_sector 38,67577.78476762924
2024 Aug_sector 39,0.0
2024 Aug_sector 40,8545.252048069498
2024 Aug_sector 41,0.0
2024 Aug_sector 42,4658.135506229108
2024 Aug_sector 43,17072.09867819368
2024 Aug_sector 44,0.0
2024 Aug_sector 45,63703.340160509026
2024 Aug_sector 46,6166.739989198359
2024 Aug_sector 47,25802.196275538277
2024 Aug_sector 48,23032.930703771257
2024 Aug_sector 49,0.0
2024 Aug_sector 50,20274.71799605013
2024 Aug_sector 51,21625.218315629936
2024 Aug_sector 52,0.0
2024 Aug_sector 53,0.0
2024 Aug_sector 54,58112.138433721564
2024 Aug_sector 55,105856.0867047388
2024 Aug_sector 56,2896.7628090743
2024 Aug_sector 57,26771.944281536315
2024 Aug_sector 58,0.0
2024 Aug_sector 59,25134.9554575551
2024 Aug_sector 60,12554.532602877947
2024 Aug_sector 61,98267.30053250714
2024 Aug_sector 62,10528.355487958861
2024 Aug_sector 63,7815.1447057778
2024 Aug_sector 64,14354.954314681872
2024 Aug_sector 65,14027.109272828511
2024 Aug_sector 66,53480.31294304532
2024 Aug_sector 67,3044.692204654636
2024 Aug_sector 68,17559.266096211773
2024 Aug_sector 69,2449.095094744535
2024 Aug_sector 70,1251.798359361969
2024 Aug_sector 71,9996.361855486639
2024 Aug_sector 72,0.0
2024 Aug_sector 73,0.0
2024 Aug_sector 74,0.0
2024 Aug_sector 75,0.0
2024 Aug_sector 76,27937.037770192735
2024 Aug_sector 77,63046.44340311147
2024 Aug_sector 78,17147.052787078635
2024 Aug_sector 79,41760.90398362053
2024 Aug_sector 80,23112.840481685336
2024 Aug_sector 81,14693.872783033265
2024 Aug_sector 82,0.0
2024 Aug_sector 83,65170.74294451472
2024 Aug_sector 84,5470.307254171183
2024 Aug_sector 85,128785.78411115785
2024 Aug_sector 86,50440.72363080044
2024 Aug_sector 87,0.0
2024 Aug_sector 88,4769.750457249655
2024 Aug_sector 89,0.0
2024 Aug_sector 90,5448.589043419497
2024 Aug_sector 91,27686.796897212982
2024 Aug_sector 92,30929.741644504036
2024 Aug_sector 93,20664.93701016698
2024 Aug_sector 94,19093.971280106685
2024 Aug_sector 95,0.0
2024 Aug_sector 96,0.0
2024 Sep_sector 1,10152.590634538947
2024 Sep_sector 2,5007.933729259544
2024 Sep_sector 3,10863.21675866934
2024 Sep_sector 4,74540.8745802827
2024 Sep_sector 5,1819.8652287032169
2024 Sep_sector 6,16398.83406513867
2024 Sep_sector 7,8513.744664345106
2024 Sep_sector 8,4009.50040661777
2024 Sep_sector 9,12083.59920766555
2024 Sep_sector 10,43481.23819205714
2024 Sep_sector 11,4147.046500261927
2024 Sep_sector 12,0.0
2024 Sep_sector 13,4582.174577569289
2024 Sep_sector 14,14284.007143740271
2024 Sep_sector 15,95435.5404126818
2024 Sep_sector 16,76880.84261907605
2024 Sep_sector 17,1908.1376961373471
2024 Sep_sector 18,26088.829780356664
2024 Sep_sector 19,0.0
2024 Sep_sector 20,9384.95896735157
2024 Sep_sector 21,23228.284064951098
2024 Sep_sector 22,25157.253459617572
2024 Sep_sector 23,26495.435322039906
2024 Sep_sector 24,65169.755159492626
2024 Sep_sector 25,29937.449255772968
2024 Sep_sector 26,0.0
2024 Sep_sector 27,3854.1801203892655
2024 Sep_sector 28,35675.92674262938
2024 Sep_sector 29,26166.87739792408
2024 Sep_sector 30,32953.69079084863
2024 Sep_sector 31,10621.19438488939
2024 Sep_sector 32,62924.67477921567
2024 Sep_sector 33,0.0
2024 Sep_sector 34,75036.3433415536
2024 Sep_sector 35,12236.649983688787
2024 Sep_sector 36,125145.44325442374
2024 Sep_sector 37,4571.064445191867
2024 Sep_sector 38,63391.33678453004
2024 Sep_sector 39,0.0
2024 Sep_sector 40,8537.525499312802
2024 Sep_sector 41,0.0
2024 Sep_sector 42,3882.9921392120154
2024 Sep_sector 43,15422.074793372292
2024 Sep_sector 44,0.0
2024 Sep_sector 45,63165.09051229179
2024 Sep_sector 46,6229.104468219881
2024 Sep_sector 47,26712.302553670317
2024 Sep_sector 48,23607.07274555513
2024 Sep_sector 49,0.0
2024 Sep_sector 50,19616.13852726317
2024 Sep_sector 51,21277.304964818934
2024 Sep_sector 52,0.0
2024 Sep_sector 53,0.0
2024 Sep_sector 54,59019.07747344125
2024 Sep_sector 55,119442.05841633794
2024 Sep_sector 56,2869.399879400469
2024 Sep_sector 57,27982.58947757435
2024 Sep_sector 58,0.0
2024 Sep_sector 59,28005.035790457434
2024 Sep_sector 60,12061.081718031817
2024 Sep_sector 61,100632.29159308613
2024 Sep_sector 62,10605.893202008696
2024 Sep_sector 63,10215.363170856579
2024 Sep_sector 64,14547.50393713021
2024 Sep_sector 65,14791.188785681004
2024 Sep_sector 66,53370.20166994283
2024 Sep_sector 67,3084.532031262729
2024 Sep_sector 68,16926.566234349644
2024 Sep_sector 69,2622.0671463701838
2024 Sep_sector 70,1277.9071455001013
2024 Sep_sector 71,10773.379516820443
2024 Sep_sector 72,0.0
2024 Sep_sector 73,0.0
2024 Sep_sector 74,0.0
2024 Sep_sector 75,0.0
2024 Sep_sector 76,27628.140359100154
2024 Sep_sector 77,66969.20811169306
2024 Sep_sector 78,18562.940163765972
2024 Sep_sector 79,40422.589790754195
2024 Sep_sector 80,25795.302151481705
2024 Sep_sector 81,13590.476735779483
2024 Sep_sector 82,0.0
2024 Sep_sector 83,66663.39965928165
2024 Sep_sector 84,5010.804538704045
2024 Sep_sector 85,132643.74797418105
2024 Sep_sector 86,51500.42039588607
2024 Sep_sector 87,0.0
2024 Sep_sector 88,4463.822544581264
2024 Sep_sector 89,0.0
2024 Sep_sector 90,5520.755332038331
2024 Sep_sector 91,28538.489386954338
2024 Sep_sector 92,31074.07796211867
2024 Sep_sector 93,20591.273678930113
2024 Sep_sector 94,20676.34732964575
2024 Sep_sector 95,0.0
2024 Sep_sector 96,0.0
2024 Oct_sector 1,10421.218814426058
2024 Oct_sector 2,5267.83256380744
2024 Oct_sector 3,10667.900459657847
2024 Oct_sector 4,72940.52298450383
2024 Oct_sector 5,1998.4233852611628
2024 Oct_sector 6,16650.289933339776
2024 Oct_sector 7,8097.744562906293
2024 Oct_sector 8,4036.0420724925043
2024 Oct_sector 9,10132.393886094433
2024 Oct_sector 10,44421.03338344926
2024 Oct_sector 11,3974.4808013471534
2024 Oct_sector 12,0.0
2024 Oct_sector 13,4580.148100793402
2024 Oct_sector 14,15053.398504758501
2024 Oct_sector 15,96492.03075748142
2024 Oct_sector 16,75776.80001415768
2024 Oct_sector 17,1732.7928891483202
2024 Oct_sector 18,25211.971283644325
2024 Oct_sector 19,0.0
2024 Oct_sector 20,8626.642464752704
2024 Oct_sector 21,22301.421370342883
2024 Oct_sector 22,28400.486580533758
2024 Oct_sector 23,27284.223167516517
2024 Oct_sector 24,69114.41014185813
