month,sector,num_new_house_transactions,amount_new_house_transactions,area_per_unit_new_house_transactions,num_new_house_available_for_sale,period_new_house_sell_through,amount_pre_owned_house_transactions,is_december,is_february,year,num_new_house_available_for_sale_lag1,amount_pre_owned_house_transactions_lag1,period_new_house_sell_through_lag1,sector_historical_mean,sector_historical_std,month_historical_mean,sector_month_avg,months_since_start
2019-01-01,sector 1,52,13827.14,94,159.0,3.78,40994.7,0,0,2019,,,,,,,,0
2019-02-01,sector 1,24,8802.81,105,158.0,4.24,10191.0,0,1,2019,159.0,40994.7,3.78,13827.14,,,,1
2019-03-01,sector 1,68,23283.48,99,151.0,3.68,30176.3,0,0,2019,158.0,10191.0,4.24,11314.974999999999,3552.737813919006,,,2
2019-04-01,sector 1,69,26626.68,101,141.0,2.83,39411.1,0,0,2019,151.0,30176.3,3.68,15304.476666666667,7352.505942346006,,,3
2019-05-01,sector 1,47,8649.42,81,141.0,2.67,45385.4,0,0,2019,141.0,39411.1,2.83,18135.0275,8251.523162533387,,,4
2019-06-01,sector 1,41,20116.16,104,158.0,3.45,42369.3,0,0,2019,141.0,45385.4,2.67,16237.905999999999,8310.299381200415,,,5
2019-07-01,sector 1,42,14325.33,94,100.0,2.74,51995.5,0,0,2019,158.0,42369.3,3.45,16884.281666666666,7599.71510379808,,,6
2019-08-01,sector 1,54,29794.76,116,91.0,2.08,39332.0,0,0,2019,100.0,51995.5,2.74,16518.717142857142,7004.65464268038,,,7
2019-09-01,sector 1,47,13982.09,93,88.0,2.16,54229.0,0,0,2019,91.0,39332.0,2.08,18178.2225,8005.469288295971,,,8
2019-10-01,sector 1,41,11949.09,91,85.0,2.28,44000.0,0,0,2019,88.0,54229.0,2.16,17711.985555555555,7617.938579786711,,,9
2019-11-01,sector 1,41,15092.94,99,82.0,2.13,51202.0,0,0,2019,85.0,44000.0,2.28,17135.696,7409.856606117736,,,10
2019-12-01,sector 1,48,22931.65,96,293.0,8.13,54327.0,1,0,2019,82.0,51202.0,2.13,16949.99090909091,7056.537934397369,,,11
2020-01-01,sector 1,19,7368.96,88,165.0,4.72,31893.0,0,0,2020,293.0,54327.0,8.13,17448.462499999998,6946.194736900753,13827.14,13827.14,12
2020-02-01,sector 1,3,2838.07,99,162.0,6.13,4061.0,0,1,2020,165.0,31893.0,4.72,16673.116153846153,7214.147557435943,8802.81,8802.81,13
